SYMBOL,ENTREZID
ACAN,176
ACTG2,72
AQP1,358
CNN1,1264
DDX3Y,8653
IGFBP2,3485
ITIH5,80760
MYBPH,4608
MYH11,4629
MYH7,4625
MYL11,29895
NEB,4703
NPR3,4883
RCAN1,1827
RGS4,5999
RGS5,8490
RPS4Y1,6192
SERPINF1,5176
SYNM,23336
TGM2,7052
TNNC2,7125
TNNI1,7135
TNNT2,7139
TNNT3,7140
TTN,7273
XIST,7503
