GeneName,p-value
KIAA1549L,9.954644478148108e-05
TRIM14,9.964269041455842e-05
ZMYND19,0.0001000996135427044
LINC02273,0.00010026349453110708
LINC02773,0.0001005134875588256
SPTLC1,0.00010052717664546817
RNF34,0.00010066205377022255
ABLIM3,0.00010076926413632021
ZNF502,0.00010103213968561456
CASP9,0.00010124973979288158
IMMP2L,0.00010131433537945474
MAP2,0.00010140496910202517
ENOX1,0.00010165375079205804
MOXD1,0.00010247435146068374
DAD1,0.00010275431591049472
TMEM209,0.00010289873845625639
SAMD9,0.00010302343217063416
DNAJC30,0.00010305861544130652
UPF2,0.00010319526567876999
LINC01837,0.00010324538901239503
KRT86,0.00010351523476843206
TDG,0.00010352382890435903
RNF141,0.00010391124153406606
CRELD2,0.00010397968150280035
STOX1,0.00010490493171540207
PTPRN,0.00010512186085510644
RNU1-24P,0.00010514197754967146
RO60,0.00010518338903998523
CREG2,0.0001053169630836559
HCCS,0.00010560240094664944
CCL2,0.00010584097256574806
ASPHD1,0.00010601889093653207
EEPD1,0.00010605554388158884
MYORG,0.00010668144488724062
FOXD4L1,0.00010679389604684799
PRTFDC1,0.00010700808910276114
AQP5,0.0001075253244891222
VPS29,0.00010760320969738477
AGFG1,0.00010778417057108629
COLGALT1,0.00010794134535768217
AQP6,0.00010808952527621166
OSBPL7,0.00010849507522706244
ZNF862,0.00010939376391378435
MBIP,0.00010940510126483422
NUBPL,0.00010947451782038897
AQP7,0.00010980018027085919
SLC31A2,0.00011015248152894924
GALNT13,0.00011024851502119593
BUB3,0.0001103039724053038
MIR542,0.00011049455471815263
SYNE3,0.00011059011869120556
SH3D21,0.00011067026128043663
TMEM18,0.00011169139706403454
RNMT,0.00011178729759665685
IFI27,0.00011184492059745703
DSTYK,0.00011201311216806349
PIGBOS1,0.00011257174711865088
XRN1,0.00011269881247039395
TMEM62,0.0001127325265685064
IP6K3,0.00011380509577915327
TNFRSF8,0.00011380751657642397
UICLM,0.00011434294264380116
VPS13A,0.0001148164869546492
NEB,0.0001149265291976847
CENPS,0.00011493517032784322
TBC1D22B,0.0001151067652151464
USP47,0.0001151067685241245
TSPAN2,0.00011600487720425365
SEMA4D,0.00011617486552077842
MMP14,0.00011619300283630341
SRPK1,0.00011660145294100108
SLC67A2,0.00011664315999216837
GPAT3,0.0001168657619301711
CABCOCO1,0.00011728551212368233
S100A5,0.00011734907462101861
PRRT4,0.00011751080906038915
SFT2D3,0.00011755875989103138
PEG13,0.00011758845449554228
PLEKHA4,0.00011792268401021055
LINC02902,0.00011802995160335641
EEF1AKMT4,0.00011816653721289681
ACOXL,0.00011849276447433745
CAMK4,0.00011853311495550568
PRAMEF12,0.00011874698776002952
LIPC-AS1,0.00011883664783395717
CALU,0.00011903828051903326
SCLT1,0.00011909392372773399
OXR1,0.00011934737212673015
MAMDC2,0.00011969003079945865
BCL10,0.00011983256766457243
MMP15,0.00011990925592155236
TTN-AS1,0.00012013164400374685
LY75,0.00012036582691097427
ZNF507,0.00012111788446604856
TNNT2,0.00012113663113729778
ZKSCAN2,0.00012151319775418888
DUXB,0.00012151746151908916
USP45,0.00012158352467182971
PARD6G-AS1,0.00012165330556431697
NGFR-AS1,0.00012193600681115348
RASSF2,0.00012196715303523714
DNAJC6,0.0001223848101432642
SLC17A5,0.00012243309845575106
HOXB-AS3,0.00012247085430352553
WNT10A,0.00012267144157823183
KDM4C,0.00012287300237677593
DPY30,0.00012315577617159784
RAB11A,0.00012334925475175187
ANKRD65,0.0001234699332696617
ZDHHC22,0.00012371103328992353
RAPGEFL1,0.00012397682381434983
LHX4,0.00012462694783215504
LY6E-DT,0.00012495903559723342
FABP3,0.00012518621374779573
TVP23B,0.00012535549062014296
LYPD6B,0.0001255506692413239
MFSD8,0.0001256815152672519
ZFP42,0.00012572544363477638
TPCN1,0.00012646381995240483
TM2D2,0.00012650332163447362
CLTCL1,0.00012654595290082058
IL1RAPL1,0.00012657661872163183
HMGCLL1,0.0001266725303019142
BTK,0.00012669325748329121
NRP2,0.00012695353469662803
LOC124904710,0.00012728111015933492
SLC12A2-DT,0.00012738441579193493
ANKRD50,0.0001281594689032447
TAS2R20,0.00012846834713705306
SLC30A6,0.00012849806861408317
PLCH2,0.00012872482391523916
ENTPD7,0.00012877801703462042
MAP4K3-DT,0.00012890337964837462
LTBP3,0.00012909151606298728
LEAP2,0.00012920072094076284
MIR4290HG,0.00012985033091468474
CD83,0.0001301182005329117
TBL1X,0.00013039259564174435
MC1R,0.0001304356712631473
MTHFD1,0.0001305692299396669
TJP1,0.00013068408120081105
GRIK2,0.00013079670434878023
GEM,0.00013093906247868187
GAS8-AS1,0.0001313654956291716
CNKSR3,0.00013211711376721595
HS1BP3,0.00013246573139866848
SSPOP,0.0001328535288349035
TBC1D9B,0.00013290415330842735
MGARP,0.00013320596156552852
PID1,0.00013331164931818106
UNC5B,0.0001333595902250194
LINC02750,0.00013344388054543473
CYGB,0.00013349406173369767
PTGDS,0.00013392435372337272
FBP2,0.0001341333251175264
TEAD3,0.00013415463199254566
TMEM161B,0.00013440071967955988
LINC00342,0.00013440849915502412
RNF170,0.0001345632102545649
ADSS2,0.00013530855932913967
RCOR2,0.0001358953259401201
SLC22A23,0.0001363365644712185
ATP2B1,0.00013636347803743353
LBX1-AS1,0.00013652031503655915
MRGPRF-AS1,0.00013656334877181034
N4BP3,0.00013663809412401724
SCRN2,0.00013688649320397806
VASH2,0.0001372794787327315
DEF8,0.00013736305541091337
GSE1,0.00013749896517885584
PTEN,0.000137722881915825
TXN2,0.00013788252083328287
PLCE1-AS1,0.0001380177475338122
FHOD1,0.00013823706111877826
PODXL,0.00013854442363030973
PRAMEF25,0.00013906705504792736
FAM219A,0.00013959744196202024
SCARNA20,0.00014029671449154515
PRB2,0.0001404302929542319
TRIM55,0.00014044739917416324
PAOX,0.0001409902845716178
LIMD2,0.0001410261352008929
TAT-AS1,0.00014165230871570313
STEAP1,0.00014179956521324544
FJX1,0.00014191904296978445
KCNK7,0.00014246466749983852
SREK1,0.00014270196989544061
ZNF292,0.0001427634649405747
AMPD1,0.00014281219944509794
EN1,0.00014306760356065776
WDR36,0.00014313474116174716
ZCCHC17,0.0001431793293657761
TENT5A,0.00014335177035525694
IGF2BP2,0.00014368355787502417
KIAA1755,0.00014480121889606847
CLK3,0.0001449654765646513
ZNF197,0.00014511466609807368
THADA,0.0001452694895992551
POLR3D,0.0001457388314060594
TPCN2,0.00014578882104782524
ROBO4,0.00014654721143948237
BMP2K-DT,0.00014684967253250747
MAGEH1,0.00014710517479387823
ZNF280B,0.00014718976597651737
CYB5R1,0.00014752234206960002
CYP8B1,0.00014755311361346567
PTGES,0.00014757089404671955
SIX3-AS1,0.000147655532491701
POLR2K,0.000147882211386118
LINC01788,0.00014824035297759385
CALM2,0.000148419292097
SPDYE16,0.0001485148331815945
FZD6,0.0001488976944430148
SETBP1-DT,0.00014969639937140593
RAB17,0.00015004337786944302
WTIP,0.00015008529210271145
TREH,0.00015012768224326913
SBK1,0.00015050942789561925
RNU6-469P,0.00015085160402544327
G6PD,0.0001514960382704898
DGKD,0.0001515845546377051
PITX2,0.00015174383149959753
UBE2J2,0.0001517722789756872
PPP2R5B,0.000151945421685377
C1QTNF6,0.00015220829862365616
PROCA1,0.00015243088037739612
NXPH4,0.00015304526961592546
GPATCH2L,0.000153262076602364
FSCN1,0.00015349088955339386
OLFML2B,0.00015506513838965064
SPON1-AS1,0.00015541499821654804
CATSPER2,0.0001557632949369648
FAIM2,0.0001561171451594741
YWHAZ,0.00015637939838727895
MICU3,0.00015642570398384086
ARHGAP10,0.00015667772274636225
GPR39,0.00015695308772617763
MYO1E,0.0001570624178024005
ALDH1A2,0.0001574036678253625
HCG20,0.00015760509423505114
IFIT2,0.00015781635976372315
CDKN2AIP,0.0001578603644988263
STON1-GTF2A1L,0.00015834767454816844
TMEM217B,0.0001585571210929089
UNC45B,0.0001587099978500116
GPR160,0.00015901457426447914
EIF5,0.0001594263835696133
EPB41L1,0.00015946138100064681
SLC1A5,0.00015955633912115348
CTXN1,0.00015998145322044952
ACBD6,0.00016042050082583427
ITGA11,0.00016044650578991005
RRN3,0.00016048052889775717
CDK9,0.00016144446430037357
STK10,0.00016169183085486605
LINC00623,0.00016172109202425243
LRRIQ4,0.0001629654011349637
TAF4B,0.0001630142560878072
POMZP3,0.00016318941102637358
PPP1R15A,0.0001632320450398244
ZNF69,0.00016328524412474794
CD9,0.0001637443498945648
TMEM187,0.0001638951176374736
TSNAX,0.00016391087923733183
TGFBR1,0.0001645289160815702
EBF3,0.00016461562377768606
ZIC1,0.00016484875318601932
SHOC2,0.00016504734336762652
CDKN1A,0.00016558599550502875
TNNI1,0.0001660940241035878
KCNA4,0.00016627605097555476
S100A10,0.00016661193583219472
PRDM1,0.00016726426095484327
OSMR,0.00016732115914373395
NEK3,0.0001679602384672845
NFATC1,0.00016824031379733965
EID1,0.00016826265716839942
UCHL3,0.00016828412017122103
UROS,0.0001683877453067371
DCTN4,0.00016914195269778244
ABCF2-H2BK1,0.00016932900445815153
SPRED3,0.00016979037603105432
NCOA5,0.00017006213450843365
CGREF1,0.00017028584482737955
SLC25A32,0.0001704326324384979
TRIM65,0.00017066069724388356
ASIC3,0.00017179104422180433
STX4,0.0001717993981534134
TMEM120B,0.0001719955929319329
MORN2,0.00017247174848149767
HELZ2,0.00017313473465671914
PLAAT3,0.00017349187104137202
CYB561,0.00017354833915800237
CCDC190,0.00017362652017311416
STX16,0.000174198787348597
TP53BP2,0.00017453312791323845
TRMT9B,0.00017453634854860167
CCM2,0.00017563760714921616
TRIM25,0.00017591942684291675
BAIAP2L1,0.00017596474081221837
CD274,0.00017708890621511052
ACAA2,0.00017731845638299383
DNAJA3,0.00017740243721440908
PRKAA2,0.0001775223210487683
TRIM45,0.0001777250584361537
UBLCP1,0.00017819893439507563
NSMCE4A,0.00017884253242779745
CRMA,0.00017949784479183892
GABRB1,0.00017974653726540206
RALBP1,0.00018019480945081356
MLN,0.0001803514945546056
BBS7,0.0001803526619351518
LINC02872,0.00018035733673151186
MYO1F,0.0001803999910939091
JPH1,0.00018067738703874775
MOK,0.00018085269061425945
CFDP1,0.0001819102356620506
APOOL,0.00018251383117765885
NLN,0.0001825542997307366
TRIM27,0.00018288564176103066
BMP4,0.0001830119634041959
HNRNPUL1,0.00018305395789850696
ELFN1,0.00018306802726864835
FLI1,0.0001836156854312254
PLA1A,0.00018474065254289575
PPP1R27,0.0001849378768010036
HSPG2,0.00018517899584856925
CTBP1-AS,0.0001858139494531459
KCNE5,0.0001865666492032342
SLC44A1,0.00018691370107409228
EPRS1,0.00018697138690962283
LRRC7,0.0001871487336623216
SKP2,0.0001872938973639149
SLC25A12,0.00018812653425267603
RASA2,0.0001884675600211937
PCDHGA5,0.00018848946254018404
GPC4,0.00018852907203616596
IQGAP1,0.0001889058753118685
ERVH48-1,0.00018896511960468472
STK39,0.00018905016359390282
IRAG1,0.00018928128323238952
FAM180B,0.0001895313069177214
ZFHX3,0.00019019974159527922
MFN1,0.00019036530729563895
TINAGL1,0.0001909396454988377
IGKV2D-24,0.00019112942859235516
MFGE8,0.00019134952603588683
ZHX2,0.00019163007823251493
EPN2-AS1,0.00019184273570634923
MAB21L2,0.00019192484574157394
DLGAP3,0.0001928441942648215
CCDC50,0.00019302997037072398
PALMD,0.000193120548379895
ANO4,0.00019326146946957643
BACE2,0.00019449150650861107
TRIM48,0.00019451565226267272
MRPL23,0.00019464251907406574
RAD52,0.00019473471480493937
ISLR2,0.00019480328619841727
ADRA1B,0.0001948438846199125
DOC2B,0.00019492345272015393
LOC646548,0.00019640582233912946
MAP3K14,0.00019675945111180212
LOC101926907,0.00019699917824700855
ZNF264,0.00019719327325333952
SPEG,0.00019719879690266475
MT-ND2,0.0001973728284981666
ETNPPL,0.00019742227217747012
ZNF433,0.00019761303289515274
PKDCC,0.00019796147616158604
KDM6A,0.0001980778803580868
ZUP1,0.0001984830128341862
INPPL1,0.00019870530934292918
PITRM1,0.0001990136570530451
MIR1-1HG,0.00019915278115966012
SLC1A1,0.00019925086214835582
PAWR,0.00019932992300889318
KCNN3,0.00019952307779998386
SOX4,0.00019985415878806602
SPOPL,0.00020053848854978127
LINC00900,0.00020055770528903068
GAN,0.00020084724075243967
SNORD53,0.00020155495395471495
MT-ND5,0.00020163615697088707
PUDP,0.00020182806841815814
MEN1,0.0002022883958235147
ZDHHC21,0.0002023260222585598
FLG2,0.0002023599848760024
RNU6-540P,0.00020265281651218986
PIK3CD-AS2,0.00020267995875421755
LINC01252,0.00020284425577639007
LTA4H,0.0002031037208382695
U2AF2,0.00020343747730348753
TMEM169,0.00020381472840646839
ZIK1,0.00020387039767857503
IL34,0.0002042581270107231
SOCS2,0.00020442706583740898
WBP4,0.00020478663196763427
STAB1,0.0002054308559649551
PDE10A,0.00020544204779037906
SMOX,0.00020563425639507228
CA5B,0.00020579555459431805
KCNQ1OT1,0.0002063209517459655
LINC00615,0.0002065859916646514
ARAP1,0.00020660069140339795
SFRP4,0.00020717318734167318
LINC02519,0.00020812574428390337
TGS1,0.00020895731340602667
BNIP2,0.000209206491709078
SLC9A9,0.0002092327231082292
DRC11,0.0002100794346904449
MDK,0.000210750237215754
ENO1,0.00021105531045469242
LINC01886,0.000211105600090096
LINC03070,0.0002116502205002291
GDF7,0.00021225944838249066
TNFAIP2,0.00021346969962451984
LYPLAL1-DT,0.00021352365179002803
MIR133B,0.0002157282777415883
NPY1R,0.00021615791306654799
ECI2,0.00021638076720126737
LINC00598,0.0002165823446215247
MORC4,0.00021684360010665183
CHN2,0.00021694923167854234
PDE4C,0.0002169717290895659
CDK7,0.0002170617995568059
SLC18B1,0.000217585601959611
DYRK4,0.00021811186617796236
LOC105376292,0.00021839435183409827
DGUOK,0.00021864582001969313
ZNF805,0.00021878937668775013
EPHX2,0.00021962746535253183
CCN4,0.00021963854609175013
VIPAS39,0.00022035716362029322
KRT10,0.00022077973092221766
TP53BP1,0.00022086352114968926
TNNT1,0.00022140660164394075
ROBO2,0.0002218480188452426
TTC9C,0.00022212262707926202
NRDE2,0.00022276916963573674
ACOX3,0.00022385245329824255
SAP25,0.00022446753412363855
CLCN3,0.0002252037204561716
BAHCC1,0.00022545364392562086
LINC02682,0.0002255366459280336
FLNA,0.00022562777297446671
EPS8L2,0.00022568876018583218
RNF169,0.00022589568483205523
TRBC2,0.00022612893716524653
KRCC1,0.0002270773113791886
LEFTY2,0.0002273058235532826
A2M,0.00022733983508637374
SDC3,0.00022792958820763742
TFIP11,0.0002279984351892942
HSD11B2,0.00022820081897028326
MOB3A,0.00022917308330743695
ZNF626,0.00022952465739243651
H3-3B,0.00023007166036456721
STYXL1,0.0002304542626408661
LINC00174,0.00023082360424200892
TAC4-AS1,0.0002308422157381038
MCAM,0.00023111712074909267
ERCC6L2,0.00023159342651436
PHAX,0.00023234461578115293
RYR1,0.00023296487228375852
L3MBTL4,0.00023299536839622618
FAM27C,0.00023358798575439347
VSNL1,0.00023365714556442148
SPTBN1-AS2,0.00023467402378119884
PAQR7,0.00023469453433606742
NPHP1,0.0002348295268857745
F13A1,0.00023525224468620235
SGPL1,0.00023528765193818482
MAP3K3,0.000235469099848754
AK1,0.00023584647659295093
PDCL,0.00023613470020445384
EIF4E,0.00023673456017246465
PPIL1,0.00023804644468376356
PKD1L1,0.00023883317579030506
HS3ST3B1,0.00023890721889483459
SVEP1,0.00023903280625950452
HNRNPA1L2,0.00023909910818299565
OAT,0.0002420560134884257
BIVM,0.0002423320852710578
GTF2H2,0.00024325186614655267
MAPK10,0.0002448257597439962
DNAAF9,0.0002449732800062678
RASSF4,0.0002453514738738556
FAM210B,0.0002455362089480899
CDC27,0.00024593623259862627
MAPK6,0.0002466532679136534
TUSC2,0.0002473898578477219
HOXD1,0.0002474823133755269
CHRNA1,0.00024768542861808735
SEPTIN9,0.00024788605399701606
PCGF6,0.0002479380632999283
SNORD37,0.00024886612127487663
USP41P,0.0002494531215235022
POPDC1,0.00025009110776044063
YJEFN3,0.00025023706534761333
PCDHGA11,0.00025033033667059537
MALSU1,0.0002507440794363253
MYADM,0.00025086141316064075
LRCH2,0.00025096323409587424
THY1-AS1,0.00025127136623541966
LRRC32,0.0002517873602596056
SPICE1,0.0002518811136668246
PRICKLE2,0.00025196453429630655
LOC154449,0.00025222817810863674
WDPCP,0.0002522898968445385
NHS,0.00025304278659442824
ABCC5,0.00025305625576886874
LMO2,0.00025341778472591286
HDAC4,0.0002536461170382817
TRPM4,0.00025389604266799125
TOB1,0.00025426829423470934
LOC124902453,0.0002545448457986547
METTL25,0.0002568759206386703
ABTB2,0.00025694076141199215
NUDT12,0.00025781522912210616
NPTX1,0.00025783975741194116
MELTF-AS1,0.00025794420421298086
ATG13,0.0002579856947270958
FDXR,0.00025832785678119307
ZNF175,0.0002583943439804178
AGAP2,0.0002586191535329776
ONECUT2,0.0002593035327880827
WDR4,0.0002609740944014045
JAM3,0.00026265968689286046
WTAP,0.0002628332170109752
PRR11,0.00026364472803783775
PRR15,0.0002637297206142526
PLEKHA6,0.00026426949427045505
OGDH,0.00026435500571458676
IKBIP,0.00026460955932284397
PNPLA3,0.00026465033133507484
HSF1,0.0002647893545677216
LINC01160,0.0002652301840151084
CLCN2,0.00026528433245646033
TXNDC16,0.0002657284542785145
PNPO,0.00026755634849811926
RAVER2,0.00026865507345917876
MANEAL,0.00026928012987640097
POLR2M,0.00026937919997372474
AAMDC,0.0002697631936308768
LINC02751,0.0002702477344953142
KCNN4,0.000270717260279696
NUP62CL,0.0002720753939425931
CLPTM1,0.0002721965668381465
RAB21,0.0002722365756951313
ANKHD1-EIF4EBP3,0.0002730147807400975
GIT1,0.00027301879770271327
ACP6,0.0002730711660775617
RAB6C,0.0002740434565353784
FNDC5,0.00027578065678251747
LINC01278,0.0002769858947735625
WDR54,0.00027719694677027124
SLC25A42,0.0002773328573772371
SLC7A7,0.000277403474543893
AKR1D1,0.0002774117531918203
SSBP1,0.0002779549388103843
CENATAC,0.0002787739747115165
PTPN22,0.00027930425771802836
ZCCHC14,0.00027949355152547754
WFIKKN2,0.00027981959745329186
DTNA-AS1,0.00028033743661311027
B3GALNT2,0.00028037134799945436
LINC00973,0.00028054710785498663
HAT1,0.00028075116079101335
EP300,0.0002810087456770086
RAB11B-AS1,0.000281954612061095
HDGFL3,0.00028299663815204253
TRIM9,0.0002831085323273016
PIK3C3,0.0002837606699269217
GPR183,0.0002839957295128856
FAHD2B,0.0002842103103585688
PBX2,0.0002845848977899046
HIPK2,0.00028470266352365606
KRABD5,0.00028473852429241096
TMEM130,0.00028491744645821543
DPH1,0.0002858695573392846
WWP2,0.0002858961896482315
TTYH2,0.00028632189342185215
SHROOM2,0.0002867265083485648
SCARF1,0.00028695873690079003
RNGTT,0.000287186135637298
TAS1R1,0.0002874109745104737
ZNFX1,0.00028760414179674997
LOC105376121,0.0002878978826356103
FBXO10,0.0002881789684596462
SCAMP2,0.0002889681334678106
DCAF12L2,0.00028967105230982967
ZNF470,0.00028973997191326245
SCFD2-AS1,0.00028986097494562414
SRSF1,0.0002898848027359366
LOC105372703,0.00028992772055535273
DDA1,0.000290055939614136
DNER,0.0002909811767196952
HLCS,0.0002913872137501147
LMOD2,0.0002918037409292104
TNFRSF12A,0.0002918535844883497
B4GALT6,0.00029190078918549006
SPRTN,0.00029239032560209234
DHCR7,0.00029261852222696216
LRRC70,0.00029271767823736976
BMP2K,0.0002937850069873742
XPR1,0.0002944627906877953
TMEFF2,0.0002946715178396438
ASS1,0.0002948858722882933
DDX18,0.00029507785194789253
NOTCH2NLC,0.0002953615952305227
PCARE,0.0002963509503004253
SLC30A9,0.0002967787003676489
C12orf42,0.0002971262163490793
STX16-NPEPL1,0.0002972016698658999
ARMC2,0.00029758645746401146
ZNF318,0.00029783991504192016
POGK,0.00029908187435721893
SPDEF,0.000299384363697157
SAR1B,0.00029975800876565754
LINC01629,0.00030012904454399924
SSBP3-AS1,0.00030018207717447213
CAVIN2,0.0003005173400631018
TFE3,0.00030089103621632493
RNF180,0.000301412475964861
HOXD13,0.00030190693639957236
C2orf66,0.000301943216713507
LINC01985,0.0003020836849516984
UCP2,0.00030237550328786295
CMPK1,0.0003029798782898899
PINK1-AS,0.0003034371910918327
OGFOD1,0.0003039800916505374
LINCMD1,0.0003040842518058189
BLCAP,0.0003042536907008454
WARS2-AS1,0.00030460465720033765
ZNF592,0.00030511948440787256
SLC25A37,0.00030513436652507037
LINC01794,0.0003058985626972467
NKX3-2,0.00030661125880239204
LRP1,0.00030664813280524843
FLG,0.00030665231812411676
ZNF44,0.0003075086377146019
CFL2,0.0003081428169003961
CACNB4,0.00030814288391123134
TNR,0.00030837838115300905
ISCA1,0.00030886872871386606
MRPS6,0.00030895463913885107
ART4,0.0003090346197163917
GASK1B-AS1,0.0003091726781520636
UGT8,0.00030929346768189574
SEL1L3,0.0003094073318593641
EMP3,0.00030996086535105255
PCDHAC2,0.00030999255762529006
KCNA2,0.0003100768855658731
MME,0.0003129788753371432
RABGAP1,0.0003130417777581114
SMTNL1,0.0003139111185879533
PARP9,0.0003143219379058896
FOXP3,0.0003144583314919307
BGLAP,0.0003144832309474585
RNU6ATAC24P,0.000314685618431214
CAPN1,0.00031561624995432873
TSPAN11,0.00031681377062992846
ARMC1,0.0003168709941223163
B9D1,0.0003169076021786745
ZBTB7C,0.0003179753541425718
CILP,0.00031827428411651423
RAI14,0.00031830981226316874
TOM1,0.00031859753624817564
PPEF1,0.00031867883195443625
GALNT10,0.0003191771405705797
CD44,0.00032149078920783587
DECR2,0.00032174224863924875
SBK2,0.0003217485676261778
NR2F2-AS1,0.00032182648128235814
PMPCB,0.0003218628674451637
SCRN1,0.00032292028722994445
PPAN,0.0003232722199101162
CACNB2,0.0003235183873072739
MAPRE2,0.0003236786741480479
MTMR10,0.000323771831571073
HTR2A,0.00032387928312591985
ODAD1,0.0003239061690775789
LOC102723360,0.00032436646109157457
LINC00235,0.0003250002526935326
CHRND,0.00032521331560833805
CNGA4,0.00032607687083085275
R3HDM2,0.000326336273322151
ODC1,0.000327387668742533
COX20,0.0003277343334704555
ACTR5,0.0003285355180751298
LINC03072,0.0003290433806762788
CTDSPL,0.0003293682256396106
PARP15,0.000329690535405037
ERCC8,0.0003299507659711784
RBM6,0.000329961716883998
A4GALT,0.00033033724549157937
GRIK1,0.0003305465006868176
PLA2G4A,0.00033107290255224097
RMDN2,0.00033113999820605697
TRIQK,0.00033171463056252113
KLKB1,0.0003317626704093932
TRIM38,0.00033226718343487116
ZNF154,0.00033239131829895525
CORO7,0.00033279690977515745
IQANK1,0.00033279975017730824
PPM1K,0.0003331365769212659
MTG2,0.00033387759745262676
PCDHGA4,0.0003338786607505964
CCBE1,0.00033390888324786125
LRRC4,0.00033398121247822237
RNU6-94P,0.0003341141497130464
DPYSL5,0.0003341948768711677
SMYD4,0.0003342497911065297
LINC00311,0.0003344710221173946
CSTF2T,0.00033454439717842094
CD226,0.00033667871535398344
GCLC,0.00033745022235707334
CCL3L3,0.00033845866226444736
ANKLE2,0.00033902003658674924
BAK1,0.0003397800611144944
LCNL1,0.00033983483545622694
MIPOL1,0.0003405026650775071
ASH1L,0.0003405432302594195
GARIN1B,0.0003411561184284264
DUSP8,0.00034128698399585734
DNASE1L3,0.00034172170580619617
MIR4269,0.00034250501413531494
ADAMTSL2,0.0003426943630355593
COPB2,0.0003444641213926344
CPT1B,0.00034488039078133973
NEDD1,0.0003450033718641481
CALHM6,0.00034541235053910796
PELO,0.00034549662441479573
SMIM10L1,0.00034560233074269357
RAD18,0.0003456324575926387
ALDH1B1,0.00034659483869479106
KATNAL1,0.00034767564412068955
EPHA1,0.00034829345279367864
SLC12A7,0.00034928747722636226
C2,0.0003493411756145522
THBS1-AS1,0.0003502241012762895
TEX261,0.0003502448769756818
DHRS7B,0.00035027579610527165
FBXO8,0.0003504142952109591
UBE2Q1,0.00035054453403515583
ANKDD1A,0.0003518006990062704
ADGRA1,0.0003519877250893719
IDI1,0.0003521173261374104
PPL,0.0003541767686799161
GORASP2,0.0003542072897429674
IGFBP7-AS1,0.0003543860473476892
TRAF4,0.00035509832233655294
FBXO21,0.0003551742641479688
SNED1,0.0003554300990849227
RNASET2,0.0003559646147804925
CCAR2,0.0003573130606771295
ITIH2,0.0003578006027383792
HGD,0.0003579206572717213
LINC00525,0.0003581189634966648
TIMMDC1,0.00035981553109680584
CHMP3-AS1,0.00035998035429687497
KIT,0.0003604058849890653
LINC02899,0.00036055385201462536
UBE2G1,0.00036062406152984397
ADGRE5,0.00036097868107493655
C1QL3,0.00036258545319401076
ID2,0.0003630018758254755
SPINT1,0.00036347153323220685
POT1,0.0003644299353724494
GALM,0.00036462026240593906
GARS1-DT,0.00036539653632171516
CDK20,0.0003657476330846982
CCDC92,0.0003660880127462213
LOC105377139,0.0003669588808094255
PPARG,0.0003673125810260934
FBXW9,0.0003677876122893775
TNMD,0.00036887919755480993
ENO4,0.0003693650603833734
BICD2,0.00036983490203015276
GPR180,0.00036986590669444157
RTKN2,0.00037119974393118554
PNMA8B,0.0003712330336938737
GNG12,0.0003733051215220247
DMXL1,0.0003741063987079111
STARD13-AS,0.00037519340742019075
HOXB8,0.0003760693813966489
TRABD2B,0.0003761393472940158
LINC02775,0.00037651547782500706
BOLA3,0.0003770832368477294
CA9,0.0003780447214565003
HGS,0.000378237541481138
METTL18,0.0003785303735989136
MIF-AS1,0.0003800165169546487
NOTCH3,0.00038006964749831795
PIGG,0.00038085653081976754
HCG18,0.0003816195159652959
MAGEC3,0.0003820392446488855
SLC12A8,0.00038213032525951285
LRP1B,0.0003836177180670981
TRMT1L,0.0003836620215354211
SRGN,0.00038366277901980185
CEP152,0.00038371131793526087
SRSF11,0.00038383333584546297
MT1F,0.0003843880300635645
ASIC4,0.0003851128854928892
IGSF22,0.00038533457115523284
DNAJC16,0.000386217569880734
MERTK,0.00038753472633752857
HLX,0.00038870473023996303
AHDC1,0.000388780203408382
LYG2,0.00038926174159174495
MYO1G,0.00038930181320402744
FABP5,0.00039108152786122857
CYP1B1-AS1,0.0003912024081383553
IL4,0.0003913271117066147
PET117,0.0003916278189611101
RALB,0.0003916700745503246
HFM1,0.00039178554351239705
IKZF2,0.00039210054050872235
MRGPRF,0.0003924109931426473
WFDC10B,0.00039297011707007583
PUS1,0.00039360309051041147
LOC101927495,0.0003942990031244924
CHM,0.00039482558823637033
THUMPD1,0.0004015643529834153
ANKRD20A3P,0.00040177041602038483
INSC,0.00040241565907924706
MEI4,0.00040296814996332206
ANKRD49,0.00040324870559996614
CNPY1,0.0004066025677968471
ANXA11,0.000406762729481242
COQ7,0.00040720294539602
HCG22,0.0004088008446443521
TOR1B,0.00041001551935975573
TNNI2,0.00041063927049316825
FRMD4B,0.0004118054493284334
LOC124904634,0.000412938363874561
PACS2,0.00041304631700680034
DBH-AS1,0.00041392841062209886
SLC12A9-AS1,0.0004145061195232897
MPZL3,0.000416831219631854
TFCP2,0.0004174362259630574
LINC03050,0.0004177732059543229
RNF139,0.0004186366430048691
ME3,0.00041974742497005035
GTF2B,0.00042217187284839756
CFAP36,0.00042230336743747987
NAT8L,0.00042300756871296733
RN7SL515P,0.0004232450246717313
PNCK,0.00042390729750965933
ARID5B,0.0004240959583691672
MROH7-TTC4,0.0004242275807063942
PCBP4,0.0004243515167433926
ANKRD44,0.00042456339203982924
TRIM22,0.00042481100257710827
NKIRAS1,0.00042503868768336493
GREM2,0.00042549626222644486
BDKRB1,0.0004269186593353808
ANPEP,0.0004282719694074292
C1QTNF7-AS1,0.00042830127630366757
PNPLA1,0.00042916771057351067
TRAM2,0.0004292925490068281
SPPL2A,0.00042984018362421015
UBC,0.0004299363822451596
PDLIM1,0.00043066413198376407
