GeneName,p-value
EVC2,5.1933613586711896e-09
HECW2-AS1,5.294963003612351e-09
XYLT1,5.550054714245516e-09
GSTT2B,5.56501639639592e-09
LOC105379499,5.848067552419301e-09
MRPL21,5.9536395980522874e-09
GRIN2A,6.025037290479724e-09
SLC8A1,6.1176532370674746e-09
CTSA,6.128231881724951e-09
BOC,6.167771596219483e-09
GOLGA8O,6.204619916194016e-09
MIR503HG,6.3546641105710375e-09
PLK2,6.37251300199827e-09
CCR5AS,6.504435968921285e-09
PNMA2,6.571711564001502e-09
CCDC47,7.1869421820693e-09
WFDC1,7.229874941069698e-09
CDC73,7.63417403105582e-09
GAL3ST4,7.6817000882933e-09
PDZRN4,7.713041134872074e-09
FAM221A,7.94570291432184e-09
APP,8.167653957074924e-09
DMBT1,8.218583041711585e-09
ALDH3A1,8.231436198213316e-09
LUM,8.534143969977496e-09
HMGA2,8.538335060115147e-09
ZSWIM4,8.839784826669396e-09
SERTAD4-AS1,8.897208960823886e-09
FGD4,9.296137045693338e-09
LINC01730,9.39721572000423e-09
ZNF697,9.508322957232114e-09
NANS,1.0663460589204245e-08
C11orf87,1.0697020365128935e-08
SPOCD1,1.1092639762996456e-08
CHST7,1.1180572493031158e-08
SLC7A2,1.1228031008746321e-08
HCN3,1.1450309639468864e-08
FBXO33,1.146885089309621e-08
EDNRB,1.164285895742003e-08
TRAPPC2B,1.3025268129955631e-08
KCNMB1,1.3211145584371352e-08
TBX2,1.3991112780199047e-08
PTGS2,1.4024210432433176e-08
GNG2,1.4144128031234798e-08
CPED1,1.4639827140673657e-08
SMAP2,1.5357696406552852e-08
MGMT,1.5456028396447142e-08
UBTF,1.5459102380168116e-08
FIBCD1,1.5560443019393862e-08
IGF2BP3,1.576411392327554e-08
ETS1,1.581469645583496e-08
PLCL1,1.5846786740898942e-08
SIRPA,1.649286350906936e-08
LINC01121,1.6669836848597464e-08
AKTIP,1.6999342100617865e-08
FGF5,1.7168360291280404e-08
LINC00184,1.723623664412515e-08
PPP2CB,1.8596988297247066e-08
CNDP2,1.8767934600358873e-08
GADD45B,1.8831531733998623e-08
MPP7,1.963899754661416e-08
PTPRJ,1.9845082582829057e-08
MRPS18B,1.9883166944355855e-08
YEATS2,2.0180985158681368e-08
CYTH3,2.0503037880513897e-08
GCA,2.147280586878123e-08
STXBP6,2.190785813809239e-08
BACH1,2.1933425287193944e-08
DIPK1A,2.197452097221044e-08
CERS5,2.256362172147225e-08
DAPK3,2.2683201014323082e-08
TACR3,2.2861816283133485e-08
TUBB3,2.334563064826588e-08
MAP2K1,2.3792179431216052e-08
ASAP3,2.4961889752770455e-08
LINC01203,2.49664218061634e-08
BNIP3L,2.5123465007544293e-08
IARS2,2.5142972331700756e-08
FAM120C,2.516337995797291e-08
PLOD2,2.58457051878357e-08
PDCD10,2.6065940891661926e-08
TNNC2,2.6290351210617576e-08
ADAMTS6,2.6753163381636644e-08
HHIP,2.71603968146219e-08
PTBP2,2.7293762968291077e-08
DNAH1,2.7495656277741408e-08
CALY,2.7765635601663644e-08
DDX60L,2.8125451772403316e-08
SLC43A2,2.85298365432997e-08
EIF5A,2.9140500677734003e-08
XG,2.9574157882556263e-08
BTAF1,3.0041682046629623e-08
NARF,3.119391164324173e-08
PPME1,3.168268892796221e-08
WNT16,3.247796781961651e-08
CTPS1,3.250357269989114e-08
RAB11FIP1,3.282160077555677e-08
RTL3,3.321775948459828e-08
HEPHL1,3.3648314472986505e-08
SLC16A5,3.418427124857861e-08
CCDC152,3.4256497620012264e-08
PGRMC1,3.44282205083086e-08
RCAN1,3.46792738815781e-08
RGS5,3.581307626675383e-08
NCOR2,3.590774843696516e-08
ARHGAP24,3.7737197170676076e-08
ZNF594,3.7846937507523955e-08
LINC02701,3.806457976407319e-08
HBEGF,3.829929770814972e-08
DLL4,3.867997499828844e-08
SNX29,3.946634783004408e-08
PCDHGA10,3.95521935563198e-08
ALPK2,4.0581831012993884e-08
PARVA,4.107662781475845e-08
PLEKHA3,4.1331013190701456e-08
RBPJ,4.21577245805069e-08
B4GALT5,4.2776035621002675e-08
UNK,4.3194732977693243e-08
IRF2BPL,4.398210020405932e-08
CTDNEP1,4.432002577594533e-08
NPR3,4.436785116106603e-08
PCDHGB6,4.448520705381814e-08
HSPA12A,4.508816035115761e-08
LINC02389,4.659639070536137e-08
SCAF8,4.687562999059983e-08
ARMCX2,4.691006064690967e-08
ESYT3,4.699401767602095e-08
RUBCNL,4.745995440027426e-08
SLC20A2,4.819130272813722e-08
SCN3A,4.8385885248707714e-08
GPX4,5.1755619738526516e-08
NAT10,5.1967091658515935e-08
FAM53B,5.266657045885856e-08
MORF4L1,5.298735213437958e-08
PLN,5.424562495696045e-08
ABCB6,5.4803604779678494e-08
LOC124904434,5.5272497085180144e-08
TSPAN14,5.5291685644478986e-08
CSGALNACT2,5.637267392535686e-08
LINC02405,5.6711334223376774e-08
ENPP2,5.697990322099436e-08
ZSWIM6,5.828848158502495e-08
FERMT2,5.835773969928445e-08
LINC02454,5.838178223849446e-08
ACTG2,5.980032244839007e-08
ZNF223,6.152164276676935e-08
IL6R,6.282913497178672e-08
RAPGEF5,6.334471071752579e-08
SNIP1,6.391639151558603e-08
NKD1,6.416593593809665e-08
TENM3,6.610600658852093e-08
COL4A5,6.65116756781782e-08
PTPN1,6.669716712805522e-08
EPSTI1,6.684398994351503e-08
YWHAB,7.168151678751934e-08
ADGRG5,7.173930842323859e-08
ABHD16A,7.203494607262595e-08
GAS7,7.203694022158347e-08
AKR1C2,7.206852978895024e-08
IFIT1,7.265394291545681e-08
LOC102724023,7.327979240734642e-08
MCPH1,7.550121419185536e-08
BNC1,7.644103718392839e-08
IRX3,7.64747508185001e-08
GFPT1,7.74156690808986e-08
LINC00847,7.813196844825863e-08
LINC00670,7.817086093420136e-08
CNTN1,7.832175253089627e-08
LIF,7.856348108064656e-08
MYH6,7.892817494323981e-08
EPPK1,7.939964406384224e-08
CCDC91,8.06606474192967e-08
PTGFR,8.090252879136215e-08
S1PR1,8.183807084223336e-08
IGFBP2,8.325035644004705e-08
TAF5L,8.365627848470065e-08
HMGA2-AS2,8.421084609207233e-08
TCAF2,8.912133320213922e-08
TIMP2,9.10369331236026e-08
NETO2,9.25897701707427e-08
RTL8B,9.328193851055673e-08
DNHD1,9.328225391148041e-08
SYAP1,9.341398495181709e-08
RMND1,9.470621702457122e-08
CA4,9.477233645087041e-08
MTMR6,9.521643494379382e-08
RRM2B,9.603893739371402e-08
LRP12,9.626345859626276e-08
MAFF,9.691922748815395e-08
TMEM165,9.728701420222554e-08
SH3RF3-AS1,9.807397362006413e-08
ABHD12,9.844696826923048e-08
SPRYD4,9.908003377323361e-08
SERPINF1,1.0056936240526022e-07
TIPARP,1.012504890939406e-07
ORMDL3,1.0151771721444381e-07
COL22A1,1.035076763991148e-07
GNG12-AS1,1.0465325508731642e-07
SLMAP,1.0548460894469266e-07
ITPR3,1.0695733765060427e-07
PRKAG2,1.0743417781327882e-07
PGM5-AS1,1.0812393648846905e-07
CREB3,1.0862980352213322e-07
PALD1,1.0927015121869982e-07
SPRR2G,1.0927578632119635e-07
PDIK1L,1.122336311639746e-07
ACAP3,1.122550087333054e-07
ST3GAL4,1.1415359812118624e-07
CRYZ,1.1446910007939024e-07
GRIK5,1.1514118803791197e-07
CRYZL1,1.1561314887877495e-07
GLI3,1.1634694516036638e-07
SLC25A14,1.1817070809140337e-07
CMYA5,1.2079521316671e-07
LINC00960,1.2112351883277767e-07
DEFB103A,1.2138104897784708e-07
SMURF1,1.2140786792371975e-07
FCRLB,1.246494055534736e-07
HUWE1,1.2562805996859403e-07
LOC102723834,1.2692137508277522e-07
TTC39B,1.2707992047404352e-07
LINC01111,1.2709376924221418e-07
OSER1,1.2780220804786642e-07
FBXO27,1.2781130981362532e-07
TSLP,1.283731540927959e-07
SLC16A2,1.2933569406738956e-07
LOC100996671,1.3065679183629642e-07
PDE3A,1.3072311925169233e-07
OR51C1,1.3135637517527215e-07
TAPBPL,1.3159817543284872e-07
F10,1.3206041064677523e-07
FOXL1,1.327400623102274e-07
IRS2,1.3337799479729562e-07
PGK1,1.334191511966981e-07
MYOCD,1.35079386428481e-07
AASS,1.3681286444729253e-07
TALDO1,1.3824247463202642e-07
ACVRL1,1.4080331519791086e-07
AIFM2,1.4088099631609815e-07
TBC1D16,1.4209200118459162e-07
NTRK1,1.439093490335082e-07
MIR137HG,1.4450136868428755e-07
GARRE1,1.4451800387065385e-07
ELL,1.449058883032097e-07
TADA1,1.4520676969994607e-07
CD46,1.4681525288927053e-07
PTPRB,1.4818591751789436e-07
LATS2,1.5148728575733093e-07
LINC01936,1.5154992957754225e-07
CBFA2T2,1.5211410877681948e-07
PLEKHO2,1.5353144124602454e-07
PRKAR1B-AS1,1.55189222376838e-07
CPE,1.5655635628453304e-07
INTS6,1.5659226016367802e-07
NECTIN1,1.571371967967062e-07
NMD3,1.574544791856986e-07
LINC02637,1.5786910515277283e-07
RBM7,1.6093415312019734e-07
GRPR,1.641258521582983e-07
CABP7,1.6565447397387603e-07
KCNK2,1.6828423681692154e-07
RIC1,1.7255181907879262e-07
NTN4,1.7375409030891878e-07
BAZ1B,1.7423807744493975e-07
OPTN,1.7463550213458284e-07
KLHL13,1.7652221838159487e-07
LSP1,1.784489217715482e-07
SORBS2,1.8295272094300427e-07
DIPK2A,1.858371071058142e-07
ACOT1,1.8596126866919086e-07
SRP54,1.9027825601534867e-07
MOB4,1.9278969079420092e-07
NKX2-6,1.9391152338169813e-07
ARL4C,1.9517707910483594e-07
LINC02262,1.9755116975119305e-07
INPP5A,1.9851258450695345e-07
HSD3B7,1.987534154400765e-07
ELFN2,1.9876928771115143e-07
ARPC5,1.9903075717824559e-07
RGS6,1.992458427411967e-07
CTTNBP2NL,2.000976184896869e-07
LOC107986952,2.0079332520150642e-07
MIATNB,2.0081521527009356e-07
HS6ST1,2.0223724951913163e-07
SAYSD1,2.0553719863733877e-07
CRY1,2.0776776345809884e-07
NPIPB15,2.104426597973902e-07
DMKN,2.1113781026005192e-07
ALK,2.1576450851790613e-07
PES1,2.161372029922807e-07
METAP2,2.1633502989541082e-07
NSMCE2,2.168317500289864e-07
DZIP1L,2.1693517939039756e-07
EFNB1,2.1777201807629267e-07
PCF11,2.1796750201877004e-07
ZBTB49,2.193770292162308e-07
PSTK,2.2158571769646208e-07
APOD,2.2400548747737344e-07
DNAJC25,2.2505831816559213e-07
CEMIP2,2.2733614394896016e-07
TCF21,2.2814411300214188e-07
APIP,2.2879554764956585e-07
STK38L,2.3030807741486733e-07
LRRC40,2.3479328938726274e-07
ABLIM2,2.3486735979406587e-07
TTL,2.3847508029665153e-07
PWP1,2.411796717731131e-07
DCPH1,2.4229191095718733e-07
POPDC3,2.4242154282446196e-07
MGAT4B,2.452194147679139e-07
SCAMP1,2.4578080166899707e-07
SBK3,2.4797148308777876e-07
SHB,2.513497087012723e-07
SLCO2B1,2.534229156148735e-07
ITGB7,2.534951414848641e-07
FAM107B,2.536124387481582e-07
SEC23A,2.579975575865765e-07
VGLL4,2.6008063868525576e-07
MAP3K13,2.6075583293974074e-07
KDM4E,2.6243278679551645e-07
MYEF2,2.661219928623557e-07
ACACA,2.693283719280799e-07
CDCA7L,2.710328086328763e-07
CHIC2,2.714944796127437e-07
FOXP1-IT1,2.720296765751038e-07
ATP13A3,2.773462669179453e-07
HSPA4,2.792184141233975e-07
C1orf198,2.8080698930289985e-07
NDUFAF5,2.8116255519403763e-07
LCLAT1,2.824655996098488e-07
COL4A4,2.8657335204908645e-07
SNX21,2.866753561363162e-07
CYSTM1,2.870255440676777e-07
USP18,2.8744765212391685e-07
CMTM5,2.885422775546214e-07
FNDC8,2.8872070659771597e-07
GALNT18,2.926202047038909e-07
VIT,2.935129483003075e-07
MAP3K5,3.008994477211226e-07
C1QL4,3.0204039711131515e-07
RFPL4B,3.041312101753355e-07
RP2,3.1163973722077305e-07
RHOU,3.1609399991405366e-07
ITSN1,3.162025787814265e-07
SUOX,3.1871807419762617e-07
SLC38A5,3.2181882562085697e-07
CMKLR1,3.2310697061963807e-07
MADD,3.2526591240646797e-07
LINC01352,3.312410238852274e-07
ELN-AS1,3.334015587791044e-07
ARRB1,3.3359947617080374e-07
PARP14,3.3511134019129893e-07
MAP1A,3.369321199968736e-07
ADAM28,3.393160424529142e-07
COG5,3.404227848701655e-07
DUSP1,3.4105937626614656e-07
NDUFAF1,3.4336770801035983e-07
CEBPA,3.4492275725945285e-07
CSPG5,3.449529776692204e-07
ARHGAP27P1-BPTFP1-KPNA2P3,3.4508305699289873e-07
LINC02593,3.456079319839001e-07
PVALB,3.4850489105831444e-07
MDFIC,3.49801305227418e-07
MYMK,3.510122498341569e-07
CACNA1A,3.5240502052254014e-07
RGS17,3.5258146198948536e-07
ATF7IP2,3.5297651811600465e-07
SLC37A3,3.569587553411919e-07
DVL3,3.6226141266462753e-07
PHF24,3.679204216763455e-07
TNKS1BP1,3.723221561117934e-07
NKAP,3.7248452870189165e-07
CHCHD4,3.758268172190041e-07
LOC124900637,3.798627425808235e-07
USP3,3.8221298787218476e-07
TMED7,3.8591680715462943e-07
TRIM8,3.861355392603447e-07
PRPSAP1,3.87709911218936e-07
ERLIN2,3.883868825267362e-07
DYRK1B,3.8964139876678936e-07
ZNF784,3.962724774845088e-07
TCP11L2,3.9627437114887855e-07
SYDE2,3.9676731947977025e-07
UBASH3B,4.007247494507679e-07
CDADC1,4.010058522818932e-07
TRIB1,4.0250142435463617e-07
PKIG,4.0784364222001703e-07
UBQLN1,4.109150385274492e-07
SYT11,4.1465311053562867e-07
PARP10,4.15213979054343e-07
CD34,4.1533280208474e-07
PYROXD1,4.164392836771409e-07
CACNA1E,4.173569954262564e-07
CGNL1,4.185847524237292e-07
ZIC4,4.1918504137979035e-07
C1orf52,4.256888726697805e-07
SLC27A1,4.259375609029785e-07
RNU6-1189P,4.2596951325511455e-07
FDFT1,4.323338047906406e-07
CFAP61,4.407223068639613e-07
