Agglomerative,ngt,t2d
0,0.22413793103448276,0.27586206896551724
1,0.27586206896551724,0.13793103448275862
2,0.3448275862068966,0.15517241379310345
3,0.0,0.2413793103448276
4,0.15517241379310345,0.1896551724137931
