sample_id,cluster_label
SRR3593218,7
SRR3593219,7
SRR3593220,7
SRR3593221,7
SRR3593222,7
SRR3593223,3
SRR3593224,3
SRR3593225,7
SRR3593226,7
SRR3593227,7
SRR3593228,7
SRR3593229,7
SRR3593230,7
SRR3593231,1
SRR3593232,1
SRR3593233,4
SRR3593234,4
SRR3593236,3
SRR3593237,3
SRR3593238,1
SRR3593239,1
SRR3593240,4
SRR3593241,4
SRR3593242,1
SRR3593243,1
SRR3593244,1
SRR3593245,1
SRR3593246,1
SRR3593247,1
SRR3593248,1
SRR3593249,6
SRR3593250,4
SRR3593251,4
SRR3593252,4
SRR3593253,4
SRR3593254,3
SRR3593256,7
SRR3593257,3
SRR3593258,3
SRR3593260,4
SRR3593261,4
SRR3593262,5
SRR3593263,5
SRR3593264,7
SRR3593265,7
SRR3593266,3
SRR3593267,3
SRR3593268,3
SRR3593269,3
SRR3593270,9
SRR3593271,9
SRR3593272,9
SRR3593273,9
SRR3593274,9
SRR3593275,9
SRR3593276,0
SRR3593277,0
SRR3593278,0
SRR3593279,0
SRR3593280,0
SRR3593281,0
SRR3593282,7
SRR3593283,7
SRR3593284,7
SRR3593285,7
SRR3593286,7
SRR3593287,7
SRR3593288,6
SRR3593289,6
SRR3593290,6
SRR3593291,6
SRR3593292,6
SRR3593293,6
SRR3593294,6
SRR3593295,6
SRR3593296,6
SRR3593297,6
SRR3593298,6
SRR3593299,6
SRR3593300,2
SRR3593301,2
SRR3593306,2
SRR3593307,2
SRR3593308,2
SRR3593309,2
SRR3593310,2
SRR3593311,2
SRR3593312,2
SRR3593313,2
SRR3593314,2
SRR3593315,2
SRR3593316,2
SRR3593317,2
SRR3593318,5
SRR3593319,5
SRR3593320,5
SRR3593321,5
SRR3593322,5
SRR3593323,5
SRR3593324,5
SRR3593325,5
SRR3593326,5
SRR3593327,5
SRR3593328,5
SRR3593329,5
SRR3593330,3
SRR3593331,3
SRR3593332,3
SRR3593333,3
SRR3593334,3
SRR3593335,3
SRR3593336,8
SRR3593337,8
SRR3593338,8
SRR3593339,8
SRR3593340,8
